1,439,323,776
1,380,004,385
331,002,651
273,523,615
220,892,340
212,559,417
206,139,589
164,689,383
145,934,462
128,932,753
126,476,461
114,963,588
109,581,078
102,334,404
97,338,579
89,561,403
84,339,067
83,992,949
83,783,942
69,799,978
67,886,011
65,273,511
60,461,826
59,734,218
59,308,690
54,409,800
53,771,296
51,269,185
50,882,891
46,754,778
45,741,007
45,195,774
43,851,044
43,849,260
43,733,762
40,222,493
38,928,346
37,846,611
37,742,154
36,910,560
34,813,871
33,469,203
32,971,854
32,866,272
32,365,999
31,255,435
31,072,940
29,825,964
29,136,808
28,435,940
27,691,018
26,545,863
26,378,274
25,778,816
25,499,884
24,206,644
23,816,775
21,413,249
20,903,273
20,250,833
19,237,691
19,129,952
19,116,201
18,776,707
18,383,955
17,915,568
17,643,054
17,500,658
17,134,872
16,743,927
16,718,965
16,425,864
15,893,222
14,862,924
13,132,795
12,952,218
12,123,200
11,890,784
11,818,619
11,673,021
11,589,623
11,402,528
11,326,616
11,193,725
10,847,910
10,708,981
10,423,054
10,203,134
10,196,709
10,139,177
10,099,265
9,904,607
9,890,402
9,660,351
9,537,645
9,449,323
9,006,398
8,947,024
8,737,371
8,655,535
8,654,622
8,278,724
7,976,983
7,496,981
7,275,560
7,132,538
6,948,445
6,871,292
6,825,445
6,624,554
6,524,195
6,486,205
6,031,200
5,850,342
5,792,202
5,540,720
5,518,087
5,459,642
5,421,241
5,106,626
5,101,414
5,094,118
5,057,681
4,937,786
4,829,767
4,822,233
4,649,658
4,314,767
4,270,571
4,105,267
4,033,963
3,989,167
3,546,421
3,473,730
3,280,819
3,278,290
2,963,243
2,961,167
2,881,053
2,877,797
2,860,853
2,722,289
2,540,905
2,416,668
2,351,627
2,225,734
2,142,249
2,083,374
2,078,938
1,968,001
1,886,198
1,701,575
1,402,985
1,399,488
1,326,535
1,318,445
1,271,768
1,207,359
1,160,164
988,000
896,445
895,312
869,601
786,552
771,608
686,884
649,33
628,066
625,978
597,339
586,632
555,987
540,544
441,543
437,479
400,124
397,628
393,244
375,265
341,243
307,145
298,682
287,375
285,498
280,908
272,815
219,159
198,414
183,627
168,775
164,093
119,449
115,023
112,523
110,940
106,766
105,695
104,425
98,347
97,929
85,033
77,265
71,986
65,722
62,278
59,190
57,559
56,770
55,191
53,199
48,863
42,876
39,242
38,717
38,666
38,128
33,931
33,691
30,231
18,094
17,564
15,003
11,792
11,239
10,824
9,877
5,794
4,992
3,480
1,626
1,357
801
